index,character,dialogue,episode
173,THREEPIO,No I dont like you either.,IV
174,LUKE,You know I think that R2 unit we bought might have been stolen.,IV
175,OWEN,What makes you think that?,IV
176,LUKE,Well I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi.,IV
177,LUKE,I thought he might have meant Ben.  Do you know what hes talking about?  Well I wonder if hes related to Ben.,IV
178,OWEN,That old mans just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  Thatll be the end of it.  It belongs to us now.,IV
179,LUKE,But what if this Obi-Wan comes looking for him?,IV
180,OWEN,He wont I dont think he exists any more.  He died about the same time as your father.,IV
181,LUKE,He knew my father?,IV
182,OWEN,I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.,IV
183,LUKE,Yes sir.  I think those new droids are going to work out fine.  In fact I uh was also thinking about our agreement about my staying on another season.  And if these new droids do work out I want to transmit my application to the Academy this year.,IV
184,OWEN,You mean the next semester before harvest?,IV
185,LUKE,Sure therere more than enough droids.,IV
186,OWEN,Harvest is when I need you the most.  Only one more season.  This year well make enough on the harvest so Ill be able to hire some more hands.  And then you can go to the Academy next year.,IV
187,OWEN,You must understand I need you here Luke.,IV
188,LUKE,But its a whole nother year.,IV
189,OWEN,Look its only one more season.,IV
190,LUKE,Yeah thats what you said last year when Biggs and Tank left.,IV
191,AUNT,BERU Where are you going?,IV
192,LUKE,It looks like Im going nowhere.  I have to finish cleaning those droids.,IV
193,AUNT,BERU Owen he cant stay here forever.  Most of his friends have gone.  It means so much to him.,IV
194,OWEN,Ill make it up to him next year.  I promise.,IV
195,AUNT,BERU Lukes just not a farmer Owen.  He has too much of his father in him.,IV
196,OWEN,Thats what Im afraid of.,IV
197,LUKE,What are you doing hiding there?,IV
198,THREEPIO,It wasnt my fault sir.  Please dont deactivate me.  I told him not to go but hes faulty malfunctioning; kept babbling on about his mission.,IV
199,LUKE,Oh no!,IV
200,THREEPIO,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I cant understand their logic at times. ,IV
201,LUKE,How could I be so stupid?  Hes nowhere in sight.  Blast it!,IV
202,THREEPIO,Pardon me sir but couldnt we go after him?,IV
203,LUKE,Its too dangerous with all the Sand People around.  Well have to wait until morning.,IV
204,OWEN,Luke Im shutting the power down for the night.,IV
205,LUKE,All right Ill be there in a few minutes.  Boy am I gonna get it.,IV
206,LUKE,You know that little droid is going to cause me a lot of trouble.,IV
207,THREEPIO,Oh he excels at that sir.,IV
208,OWEN,Luke?  Luke?  Luke?  Where could he be loafing now!,IV
209,OWEN,Have you seen Luke this morning?,IV
210,AUNT,BERU He said he had some things to do before he started today so he left early.,IV
211,OWEN,Uh?  Did he take those two new droids with him?,IV
212,AUNT,BERU I think so.,IV
213,OWEN,Well hed better have those units in the south range repaired bemidday or therell be hell to pay!,IV
214,LUKE,Hows that.,IV
215,LUKE,Old Ben Kenobi lives out in this direction somewhere but I dont see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isnt going to take this very well.,IV
216,THREEPIO,Sir would it help if you told him it was my fault.,IV
217,LUKE,Sure.  He needs you.  Hed probably only deactivate you for a day or so...,IV
218,THREEPIO,Deactivate!  Well on the other hand if you hadnt removed his restraining bolt...,IV
219,LUKE,Wait theres something dead ahead on the scanner.  It looks like our droid... hit the accelerator.,IV
220,LUKE,Hey whoa just where do you think youre going?,IV
221,THREEPIO,Master Luke here is your rightful owner.  Well have no more of this Obi-Wan Kenobi jibberish... and dont talk to me of your mission either.  Youre fortunate he doesnt blast you into a million pieces right here.,IV
222,LUKE,Well come on. Its getting late.  I only hope we can get back before Uncle Owen really blows up.,IV
223,THREEPIO,If you dont mind my saying so sir I think you should deactivate the little fugitive until youve gotten him back to your workshop.,IV
224,LUKE,No hes not going to try anything.,IV
225,LUKE,Whats wrong with him now?,IV
226,THREEPIO,Oh my... sir he says there are several creatures approaching from the southeast.,IV
227,LUKE,Sand People!  Or worse!  Come on lets have a look.  Come on.,IV
228,LUKE,There are two Banthas down there but I dont see any... wait a second theyre Sand People all right.  I can see one of them now.,IV
229,BEN,Hello there!  Come here my little friend.  Dont be afraid.,IV
230,BEN,Dont worry hell be all right.,IV
231,LUKE,What happened?,IV
232,BEN,Rest easy son youve had a busy day.  Youre fortunate youre still in one piece.,IV
233,LUKE,Ben?  Ben Kenobi!  Boy am I glad to see you! ,IV
234,BEN,The Jundland Wastes are not to be traveled lightly.  Tell me young Luke what brings you out this far?,IV
235,LUKE,Oh this little droid!  I think hes searching for his former master...  Ive never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who hes talking about?,IV
236,BEN,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I havent heard in a long time... a long time.,IV
237,LUKE,I think my uncle knew him.  He said he was dead.,IV
238,BEN,Oh hes not dead no... not yet.,IV
239,LUKE,You know him!,IV
240,BEN,Well of course of course I know him.  Hes me!  I havent gone by the name Obi-Wan since oh before you were born.,IV
241,LUKE,Then the droid does belong to you.,IV
